# File outputs are as follows! #,,,,,,
# OutputType, SourceAddress, TargetAddress, PacketSize, Timestamp, Write_Frequency#,
summary,Smartphone,Cloud,24,1489780458410,15000,Fri 19:54:18
summary,Smartphone,Cloud,24,1489780458411,15000,Fri 19:54:18
summary,Smartphone,Cloud,27063,1489780473420,15000,Fri 19:54:33
summary,Smartphone,Cloud,17,1489780488694,15000,Fri 19:54:49
summary,Smartphone,Cloud,626,1489780503700,15000,Fri 19:55:04
summary,Smartphone,Cloud,5213,1489780518704,15000,Fri 19:55:19
summary,Smartphone,Cloud,2006,1489780533706,15000,Fri 19:55:34
summary,Smartphone,Cloud,13,1489780548709,15000,Fri 19:55:49
summary,Smartphone,Cloud,27410,1489780563712,15000,Fri 19:56:04
summary,Smartphone,Cloud,8190,1489780578719,15000,Fri 19:56:19
summary,Smartphone,Cloud,136,1489780593725,15000,Fri 19:56:34
summary,Smartphone,Cloud,102,1489780608755,15000,Fri 19:56:49
summary,Smartphone,Cloud,24,1489783292723,15000,Fri 20:41:33
summary,Smartphone,Cloud,26008,1489783307754,15000,Fri 20:41:48
summary,Smartphone,Cloud,17,1489783324572,15000,Fri 20:42:05
summary,Smartphone,Cloud,153,1489783339580,15000,Fri 20:42:20
summary,Smartphone,Cloud,24,1489785634846,15000,Fri 21:20:35
summary,Smartphone,Cloud,24149,1489785649862,15000,Fri 21:20:50
summary,Smartphone,Cloud,17,1489785667278,15000,Fri 21:21:07
summary,Smartphone,Cloud,153,1489785682302,15000,Fri 21:21:22
summary,Smartphone,Cloud,52,1489788178473,15000,Fri 22:02:58
summary,Smartphone,Cloud,21287,1489788193485,15000,Fri 22:03:13
summary,Smartphone,Cloud,34,1489788210946,15000,Fri 22:03:31
summary,Smartphone,Cloud,136,1489788225957,15000,Fri 22:03:46
summary,Smartphone,Cloud,24,1489789167879,15000,Fri 22:19:28
summary,Smartphone,Cloud,15313,1489789182894,15000,Fri 22:19:43
summary,Smartphone,Cloud,17,1489789200723,15000,Fri 22:20:01
summary,Smartphone,Cloud,102,1489789215753,15000,Fri 22:20:16
summary,Smartphone,Cloud,24,1489790641802,15000,Fri 22:44:02
summary,Smartphone,Cloud,23967,1489790656810,15000,Fri 22:44:17
summary,Smartphone,Cloud,17,1489790674877,15000,Fri 22:44:35
